# source: OSM/Overpass, 2026-09-11, license ODbL
51.2939556	7.2422835		30	
51.2945763	9.1892504		50	
51.2949494	6.8734036	110		
51.2949501	9.1900087		50	
51.2952124	7.3068811		50	
51.2959168	7.2421569		50	
51.2978036	7.2031191		50	
51.2984522	6.8336271	85	50	
51.3027097	9.5166538	10	50	
51.3029215	9.5169497	190	50	
51.3071875	7.2112271		50	
51.3072298	6.9485522		30	
51.3081489	8.9059123	20	50	
51.3081724	8.9059089		50	
51.3082839	6.9503697			
51.3093905	9.5857440		50	Blitzer
51.3101044	6.8558127	40	70	
51.3105015	7.5294229			
51.3117096	9.4797426			
51.3119296	9.4802359			
51.3126019	9.5785840	255	50	
51.3126026	9.5783895	80	50	
51.3127854	6.8336855	170	50	
51.3136000	9.4993861		50	
51.3141036	7.2669909			
51.3141772	7.2651409		70	
51.3146786	7.2784873	1	50	
51.3178694	6.3867040		50	
51.3183944	6.4784021	250	50	
51.3186731	6.7112869			Blitzer
51.3198119	8.1628779		50	
51.3202090	7.6447840		70	
51.3224840	9.5580794		50	
51.3225116	9.5588034		50	
51.3240697	9.9136113		60	
51.3240838	7.4622329		50	
51.3260686	9.5551290	180	50	
51.3272800	7.5181042	200	50	
51.3288340	7.5183967	30	50	
51.3297613	7.0001009		50	
51.3312338	7.0031039			
51.3318871	6.9819211	100	50	
51.3319452	7.0655632			
51.3330081	7.0294132			
51.3355134	6.3717492		50	
51.3359969	6.5708296	340	50	
51.3368020	8.9666556		50	
51.3380415	7.4281520			
51.3388206	7.0977945		30	
51.3390934	8.2871437		50	
51.3399560	7.7077300		60	
51.3400601	7.3840605			
51.3412362	6.6167780		50	
51.3424206	9.3483202	270	50	
51.3425181	9.3485261	95	50	
51.3442424	7.4902205	240	30	
51.3448616	7.4148996		50	
51.3475157	7.4823402			
51.3475794	8.4904520			
51.3476650	7.4819620		30	
51.3482131	9.8491290	0	80	
51.3482457	8.4905078			
51.3482766	7.5256694	100	50	
51.3501146	9.4700843		60	
51.3503293	9.8721270			
51.3508997	9.4697067		60	
51.3512453	8.3360794		50	
51.3533553	7.5447692	40	60	
51.3552330	7.2763125	150	70	
51.3573705	7.2713746	348	70	
51.3574598	6.6952206	120	70	
51.3590053	7.4487051			
51.3594205	7.9870381		50	
51.3600300	7.4776201		30	Märkischer Ring
51.3623718	9.5650801	80	50	
51.3626619	7.4720109			
51.3640609	9.5239114	110	50	
51.3660888	6.4164660		50	
51.3675165	7.6276990	195	70	
51.3684564	7.6677242	60	50	
51.3690102	7.4589687		50	
51.3693539	7.4636919	190	30	
51.3699323	7.4634576	0	30	
51.3704377	7.4897947			
51.3709585	7.4918787			
51.3732803	7.4669348			
51.3737017	9.6155576			Blitzer
51.3769108	8.0694904		50	
51.3796637	7.0755683			
51.3799762	7.4604458		30	
51.3811204	7.4542844			
51.3814427	6.9785430	260	50	
51.3814926	7.4498950			
51.3816382	7.4704347			
51.3856286	9.5230520	330	50	Blitzer
51.3887142	7.5229428	215	50	
51.3894396	7.8471349			
51.3909935	7.4708614	150		
51.3919433	7.4801260	200	50	
51.3957049	9.7647529			
51.3989573	6.9913461	320	60	
51.4021611	9.7080634	250	100	
51.4021898	9.7081312	250	100	
51.4022330	9.7077941	225	100	
51.4022595	9.7078549	225	100	
51.4022895	9.7079345	225	100	
51.4023203	9.7079995	225	100	
51.4033813	6.3553627		70	
51.4058804	7.3540752		50	
51.4084212	7.5460558	230	50	
51.4085191	7.4341408		50	
51.4103936	7.1772022		50	
51.4119190	6.3355361	65	70	
51.4144374	7.5861561			
51.4167995	6.3417651		70	
51.4193802	7.0609253			
51.4207650	7.1463500	250	30	
51.4214930	7.1476107	150	30	
51.4310281	6.9278221	270		
51.4310286	6.8506366	130	50	
51.4313523	6.8783697	270	50	
51.4314333	6.8783545	270	50	
51.4322877	6.4354959	105	50	
51.4330815	7.6036908		50	
51.4343944	6.5460464		70	
51.4385681	6.4858947		50	
51.4421752	6.4813589		50	
51.4437117	6.4197036	30	50	
51.4447012	7.0063780	205		
51.4462944	6.9973663		60	
51.4464469	9.2487273	140	70	
51.4465243	9.2485383		70	
51.4485236	9.2448878		70	
51.4485820	9.2448231	340	70	
51.4490061	6.4814227		50	
51.4508601	6.8815386		50	
51.4548030	7.0170860	190	50	
51.4568487	9.8639638		60	
51.4609951	8.6305480		50	
51.4623985	7.0613683	250		
51.4631976	7.1504599			
51.4634969	7.2319417	120	60	
51.4635186	7.0637329	230		
51.4639667	7.0648576	60		
51.4640630	7.8255415	70		
51.4650252	7.8274245	230		
51.4656467	7.9008907		50	
51.4671720	7.7704408		50	
51.4695000	7.8683670		50	
51.4729942	7.1299768	255	50	
51.4731098	7.1298892	175		
51.4760513	7.1894160		30	
51.4771226	7.4526860	120	50	
51.4773384	7.7081176		50	
51.4791671	8.3358024			
51.4816264	8.4130968		70	
51.4872211	7.2117646	225	50	
51.4877691	6.8628552		50	
51.4880228	6.8631844		50	
51.4882465	6.5859701	150	70	
51.4889415	10.0514601			
51.4889971	7.0980648		70	
51.4897453	6.5790565	40	80	
51.4897619	6.5791078	40	80	
51.4898511	6.5789391	80	80	
51.4898767	6.5790138	80	80	
51.4911272	6.8867764		50	
51.4933230	8.9042104	260	50	
51.4935862	6.8621655	210	60	
51.4947446	6.7714312	320		
51.4948357	6.7718466	150		
51.4976511	7.4532034	290	50	
51.4988713	6.8643632	15	60	
51.5002359	7.4679844	180	30	
51.5012420	7.6544150		50	
51.5020124	7.2589736	10	60	
51.5039199	7.5073091			
51.5040913	8.0115162		70	
51.5067536	9.9617373			
51.5097388	7.4667187	285	50	
51.5102763	7.1010342		50	
51.5116343	7.4591131	320	50	
51.5117803	7.2103983	170	30	
51.5119716	7.4725726	220	50	
51.5121599	7.0723390		50	
51.5124219	9.9453220		30	
51.5136004	9.9397240	0		
51.5138842	9.9395960	20	50	
51.5140470	9.9398460	204		
51.5156640	10.2508885	260	50	
51.5157588	10.2506159	120	50	
51.5162551	7.1067048		50	
51.5164934	7.4586204	270	50	
51.5165220	6.8562992		50	
51.5171390	7.0925989		50	
51.5175440	6.8569719		50	
51.5201491	8.3299618	355	70	
51.5203004	9.9408741	345		
51.5205714	9.9406240	10		
51.5206975	6.9311673		50	
51.5207293	6.9313990		50	
51.5207366	9.9408396	190		
51.5209830	9.9405729	165		
51.5213309	7.0898454	350	50	
51.5217769	9.8657723			
51.5221464	9.9502421		50	
51.5226511	9.9499270		50	
51.5233594	7.1555751		50	
51.5235307	7.4843074	285	30	
51.5237037	7.4847868	110	30	
51.5256384	9.8807399			
51.5261619	8.4565577	185	70	
51.5272977	6.9899059	10	70	
51.5275162	6.9902532	190	70	
51.5294566	9.9312777	300	50	
